File,Peak Intensity,Mean (Peak Position),FWHM,Entries,Std Dev.,Compton Edge
7cm.root,7.970955016600361,0.6622680922820104,0.011336628076083027,211.0,0.00506013144309086,0.478
2cm.root,28871.34376391354,0.6620428167621889,0.02245509645126129,87904.0,0.0069172536332917645,0.478
11cm.root,0.36913301945112165,0.6635755896568298,6.023871197474736e-05,2.0,0.0008810162544250488,0.478
10cm.root,0.36909197711034897,0.660503089427948,0.00035262396836732306,3.0,0.004404313235151646,0.478
4cm.root,2361.273400504808,0.662062687552518,0.017571914773775326,7841.0,0.00855877556536503,0.478
5cm.root,350.33253954137007,0.662209826470421,0.012382681778010506,2385.0,0.006036179747287554,0.478
6cm.root,26.804305156452674,0.6623684071468671,0.011861494344149714,674.0,0.005062849277159669,0.478
3cm.root,8606.816885696646,0.6619621363632251,0.022461948924412233,26231.0,0.009247589303659397,0.478
8cm.root,2.8830438456481633,0.6627445220947266,0.011103864418755261,75.0,0.005363382387034753,0.478
9cm.root,0.36634629687872444,0.6631616287761264,0.008694147986167848,18.0,0.004034709882436403,0.478
1cm.root,97246.99750244856,0.6619899695254589,0.02246524868665145,296229.0,0.006691305747860068,0.478
